Ranking,Male Legends,Female Legends
1,Humphrey Bogart,Katharine Hepburn
2,Cary Grant,Bette Davis
3,James Stewart,Audrey Hepburn
4,Marlon Brando,Ingrid Bergman
5,Fred Astaire,Greta Garbo
6,Henry Fonda,Marilyn Monroe
7,Clark Gable,Elizabeth Taylor
8,James Cagney,Judy Garland
9,Spencer Tracy,Marlene Dietrich
10,Charlie Chaplin,Joan Crawford
11,Gary Cooper,Barbara Stanwyck
12,Gregory Peck,Claudette Colbert
13,John Wayne,Grace Kelly
14,Laurence Olivier,Ginger Rogers
15,Gene Kelly,Mae West
16,Orson Welles,Vivien Leigh
17,Kirk Douglas,Lillian Gish
18,James Dean,Shirley Temple
19,Burt Lancaster,Rita Hayworth
20,The Marx Brothers,Lauren Bacall
21,Buster Keaton,Sophia Loren
22,Sidney Poitier,Jean Harlow
23,Robert Mitchum,Carole Lombard
24,Edward G. Robinson,Mary Pickford
25,William Holden,Ava Gardner